input,time,date,task_detail
Add a reminder to pick up milk.,,,Pick up milk
Remind me of my doctor's appointment on Monday at 10 AM.,10 AM,Monday,Doctor's appointment
Remind me to cancel the doctor's appointment on Monday morning.,morning,Monday,Cancel doctor's appointment
Remind me of the conference call Friday.,,Friday,Conference call
Remind me to email my boss.,,,Email boss
Add a reminder to buy a present for my niece for Saturday.,,Saturday,Buy present for niece
Remind me of my appointment tomorrow at 4:30.,4:30 PM,tomorrow,Appointment at 4:30
Remind me of my appointment tomorrow at 9 AM.,9 AM,tomorrow,Appointment
Remind me about dinner with Tom.,,,Dinner with Tom
Remind me about Tony's birthday next week.,,next week,Tony's birthday
Remind me to add shoes to Amazon order.,,,Add shoes to Amazon order
Remind me to get gas on my way home.,,,Get gas on my way home
Remind me tomorrow about my dentist appointment.,,tomorrow,Dentist appointment
Remind me about my appointments.,,,Appointments
Add a reminder for daily exercise.,,daily,Daily exercise
Remind me to charge the battery at 15%.,,,Charge the battery at 15%
Repeat dog walk reminder each day.,,daily,Dog walk reminder
"Remind me to call my daughter, please.",,,Call my daughter
Remind me to start a timer in twenty minutes.,twenty minutes,,Start a timer
Please remind me to set an alarm.,,,Set an alarm
Remind me to set my alarm for 8 AM on Sunday.,8 AM,Sunday,Set alarm for 8 AM
Remind me of my dentist appointment tomorrow.,,tomorrow,Dentist appointment
Remind me about dentist appointment.,,,Dentist appointment
Send a reminder about Mel's birthday on Wednesday.,,Wednesday,Mel's birthday
Add dentist to Monday reminder.,,Monday,Dentist
Remind me to fill my gas at the end of the day when I get out of work at 6 PM.,6 PM,,Fill gas at end of day
Add a reminder.,,,Add a reminder
Remind me to call the pharmacy in the morning.,,morning,Call the pharmacy
Create new alarm reminder for groceries.,,,Groceries
Remind me of a doctor's appointment on Friday at 2:30 PM.,2:30 PM,Friday,Doctor's appointment
Remind me to go to my doctor appointment 2 hours before I need to be there.,,,Go to doctor appointment 2 hours before
Set an additional reminder.,,,Additional reminder
Remind me to set an alarm for tomorrow morning.,morning,tomorrow,Set alarm for tomorrow morning
Add a reminder for 8 AM meeting on Wednesday.,8 AM,Wednesday,8 AM meeting
Add reminder to send flowers to grandmother next week for birthday.,,next week,Send flowers to grandmother for birthday
Remind me of my meeting at 2 PM today.,2 PM,today,Meeting at 2 PM
Save yearly reminders.,,Yearly,
Remind me of Kayla's birthday on Tuesday.,,Tuesday,Kayla's birthday
Please remind me of my daughter's doctor appointment.,,,Daughter's doctor appointment
Remind me that school starts next week this weekend.,,weekend,School starts next week
Reminder of dentist appointment at 1 PM.,1:00 PM,,Dentist appointment
Remind me about doctor's appointment next month.,,next month,Doctor's appointment next month
Remind me on Tuesday that I have an after-work meeting on Wednesday.,,Tuesday,After-work meeting on Wednesday
Set my alarm for tonight's Empire show as a reminder.,,tonight,Empire show
Remind me to set my alarm tonight.,,tonight,Set alarm tonight
Remind me to change doctor's appointment.,,,Change doctor's appointment
Remind me of my pilates class at 6:00 PM.,6:00 PM,,Pilates class at 6:00 PM
Remind me Maggie's birthday is on August 17th.,,August 17th,Maggie's birthday
Remind me to take Max to the dog groomer.,,,Take Max to the dog groomer
Remind me of my alarm in 2 hours.,,2 hours,Alarm in 2 hours
Remind me of work times.,,,Work times
Remind me to pick my daughter up from school.,,,Pick up daughter from school
Reminder to pick up birthday cake today at 3:30 PM.,3:30 PM,today,Pick up birthday cake at 3:30 PM
Remind me about my sister's birthday on Friday.,,Friday,Sister's birthday on Friday
Remind me to pay my electricity bill on August 14th.,,August 14th,Pay electricity bill
Set alarm to remind me to place an Amazon order.,,,Set alarm for Amazon order
Remind me about my doctor's appointment on Thursday.,,Thursday,Doctor's appointment on Thursday
Set a reminder for the vet appointment in the morning.,,morning,Vet appointment in the morning
Add a reminder for Saturday Ladies Night.,,Saturday,Saturday Ladies Night
Remind me of my doctor's appointment tomorrow.,,tomorrow,Doctor's appointment tomorrow
Remind me on March 1st at 2 PM to join the webinar.,2:00 PM,March 1st,Join the webinar on March 1st
Remind me with an alarm in 10 minutes.,,10 minutes,Alarm in 10 minutes
Remind me to watch Walking Dead.,,,Watch Walking Dead
Add reminder to call Bill at 6 PM.,6:00 PM,,Call Bill at 6 PM
Remind me it is Friday at 11 AM.,11:00 AM,,It is Friday at 11 AM
Prepone the reminder to buy coffee to 4:30 PM today.,4:30 PM,today,Buy coffee at 4:30 PM today
Please add a reminder to get peppers at the grocery tomorrow.,,tomorrow,Get peppers at the grocery tomorrow
Add reminder to pay bills tonight.,,tonight,Pay bills tonight
Remind me to return the DVD.,,,Return the DVD
Add reminder for Jen's party on August 10th.,,August 10th,Jen's party on August 10th
"Set a reminder called golf for this Sunday at 7 AM, set an alarm for this reminder to go off 30 minutes beforehand.",7:00 AM,this Sunday,Golf
Remind me of the restaurant I saw in Chicago.,,,Restaurant in Chicago
Remind me the day before my dentist appointment.,,,Day before dentist appointment
Remind me 20 minutes before my chiropractor appointment.,,20 minutes before,Chiropractor appointment
Remind me to pay my phone bill on August 1st.,,August 1st,Pay phone bill on August 1st
Remind me to get eggs at the store tomorrow.,,tomorrow,Get eggs at the store tomorrow
Set reminder in 30 minutes to add chemicals to my pool.,,30 minutes,Add chemicals
Remind me to set my alarm for 8 AM on Sunday.,8:00 AM,Sunday,Set alarm for 8 AM on Sunday
Remind me of my dentist appointment tomorrow.,,tomorrow,Dentist appointment tomorrow
Remind me about dinner with Tom.,,,Dinner with Tom
Remind me about Tony's birthday next week.,,next week,Tony's birthday next week
Remind me to add shoes to Amazon order.,,,Add shoes to Amazon order
Remind me to get gas on my way home.,,,Get gas on my way home
Remind me tomorrow about my dentist appointment.,,tomorrow,Dentist appointment tomorrow
Remind me about my appointments.,,,Appointments
Weekly reminder to take out trash.,,Weekly,Take out trash
Remind me when I'm at the store to buy pickles.,,,Buy pickles at the store
Remind me 24 hours before my anniversary.,,24 hours before,24 hours before anniversary
Remind me with an alarm in 10 minutes.,,10 minutes,Alarm in 10 minutes
Remind me to watch Walking Dead.,,,Watch Walking Dead
Add reminder to call Bill at 6 PM.,6:00 PM,,Call Bill at 6 PM
Remind me it is Friday at 11 AM.,11:00 AM,,It is Friday at 11 AM
Prepone the reminder to buy coffee to 4:30 PM today.,4:30 PM,today,Buy coffee at 4:30 PM today
Please add a reminder to get peppers at the grocery tomorrow.,,tomorrow,Get peppers at the grocery tomorrow
Add reminder to pay bills tonight.,,tonight,Pay bills tonight
Remind me to return the DVD.,,,Return the DVD
Add reminder for Jen's party on August 10th.,,August 10th,Jen's party on August 10th
Set a reminder called golf for this Sunday at 7 AM,7:00 AM,Sunday,Golf
Remind me of the restaurant I saw in Chicago.,,,Restaurant in Chicago
Remind me the day before my dentist appointment.,,,Day before dentist appointment
Remind me 20 minutes before my chiropractor appointment.,,20 minutes before,Chiropractor appointment
Remind me to pay my phone bill on August 1st.,,August 1st,Pay phone bill on August 1st
Remind me to get eggs at the store tomorrow.,,tomorrow,Get eggs at the store tomorrow
Set reminder in 30 minutes to add chemicals.,,30 minutes,Set reminder in 30 minutes
Add a reminder to clean the house.,,,Clean the house
Remind me of my dentist's appointment today at 4 PM.,4:00 PM,today,Dentist's appointment today at 4 PM
Remind me of the field trip at school tomorrow.,,tomorrow,Field trip at school tomorrow
Show me the reminder for the house tour.,,,Show reminder for house tour
Remind me to set an alarm in 30 minutes.,,30 minutes,Set alarm in 30 minutes
Remind me of date night for tomorrow at 8 PM.,8:00 PM,tomorrow,Date night tomorrow at 8 PM
Remind me an hour before my doctor's appointment.,,1 hour,1 hour before doctor's appointment
Remind me when payment is due.,,,Payment due
Remind me of haircut appointment on Wednesday at 4 PM.,4:00 PM,Wednesday,Haircut appointment on Wednesday at 4 PM
Remind me when it is two days from husband's birthday.,,2 days,Two days from husband's birthday
Remind me to sell my home tomorrow at 8 PM with an alarm.,8:00 PM,tomorrow,Sell home tomorrow at 8 PM with alarm
Remind me of the work deadline for the project a week before it is due.,,1 week,1 week before work deadline
Remind me to call mom at 10.,,10:00 AM,Call mom at 10
Remind me about game night on Friday at 4 PM.,4:00 PM,Friday,Game night on Friday at 4 PM
Remind me about doctor's appointment on Monday.,,Monday,Doctor's appointment on Monday
Beep me a reminder every 10 minutes.,,10 minutes,Beep reminder every 10 minutes
Please remind me when I am around E 12th street & Bakers corner to drop in deli store for pastramis.,,,Reminder to drop in deli store for pastramis
Reminder alarm for 3 PM meeting.,3:00 PM,,3 PM meeting
Remind me to set the alarm tonight.,,tonight,Set alarm tonight
Add a reminder to pick up kids.,,,Pick up kids
Remind me to buy pet food.,,,Buy pet food
Set a reminder for my parents' anniversary.,,,Parents' anniversary
Remind me the dragon cake is due Tuesday at 8 AM.,8:00 AM,Tuesday,Dragon cake due Tuesday at 8 AM
Remind me to get gas today.,,today,Get gas today
Add reminder to check all reminders.,,,Check all reminders
Will you remind me to pick up some ice cream when we go to the store.,,,Pick up ice cream at the store
Remind me of my 10:00 AM doctor's appointment.,10:00 AM,,10:00 AM doctor's appointment
Remind me of all my events.,,,All events
Set a repeated reminder to go to bed.,,,Repeated reminder to go to bed
Remind me that tomorrow is our anniversary.,,tomorrow,Tomorrow is our anniversary
Remind me about my to-do list at 3 PM.,3:00 PM,,To-do list at 3 PM
Remind me to set an alarm for the gym.,,,Set alarm for the gym
Remind me again in an hour.,,1 hour,Remind again in 1 hour
Remind me to turn the oven on at 4 PM.,4:00 PM,,Turn oven on at 4 PM
Remind me about soccer at 5.,5:00 PM,,Soccer at 5
Remind me of my doctor appointment on Tuesday.,,Tuesday,Doctor appointment on Tuesday
Remind me to turn off the stove in 11 minutes.,11 minutes,,Turn off stove in 11 minutes
Remind me to set the house alarm each night.,,,Set house alarm each night
Remind me to water the plants every morning.,,every morning,Water plants
Remind me to take my medication at 9 AM every day.,9:00 AM,every day,Take medication at 9 AM
Remind me to submit the report by 5 PM tomorrow.,5:00 PM,tomorrow,Submit report by 5 PM
Remind me to check emails every hour during work hours.,,every hour during work hours,Check emails
Remind me to wish my friend happy birthday on January 15th.,,January 15th,Wish friend happy birthday
Remind me to review the project proposal at 3:30 PM today.,3:30 PM,today,Review project proposal at 3:30 PM
Remind me to practice guitar for 20 minutes at 6 PM.,6:00 PM,,Practice guitar for 20 minutes at 6 PM
Remind me to buy a birthday card for mom next week.,,next week,Buy birthday card for mom
Remind me to check for flight updates a day before my trip.,,1 day before trip,Check flight updates
Remind me to call the bank about the credit card issue on Monday.,,Monday,Call bank about credit card issue on Monday
Remind me to review the meeting agenda 30 minutes before the conference call at 2 PM.,1:30 PM,,Review meeting agenda 30 minutes before conference call at 2 PM
Remind me to update the software on my computer next Friday.,,next Friday,Update software on computer
Remind me to buy milk and eggs when I go grocery shopping tomorrow.,,tomorrow,Buy milk and eggs during grocery shopping
Remind me to wish my sister good luck before her exam on Thursday.,,Thursday,Wish sister good luck before exam
Remind me to water the garden every evening.,,every evening,Water garden
Remind me to check if there are any discounts before purchasing online.,,,Check for discounts before online purchase
Remind me to submit the expense report by the end of the month.,,end of the month,Submit expense report
Remind me to call my parents on Sunday evening.,,Sunday evening,Call parents on Sunday
Remind me to take a break and stretch every two hours at work.,,every two hours at work,Take break and stretch
Remind me to pick up dry cleaning on Wednesday after work.,,Wednesday after work,Pick up dry cleaning
Remind me to buy a gift for the office Secret Santa exchange.,,,Buy gift for office Secret Santa exchange
Remind me to check the weather forecast before leaving the house.,,,Check weather forecast before leaving house
Remind me to attend the team meeting at 10:30 AM on Friday.,10:30 AM,Friday,Team meeting at 10:30 AM on Friday
Remind me to review the presentation slides before the meeting at 3 PM.,,before meeting at 3 PM,Review presentation slides
Remind me to start preparing for the upcoming exam two weeks in advance.,,2 weeks in advance,Start preparing for upcoming exam
Remind me to turn off the oven after baking at 6:45 PM.,6:45 PM,,Turn off oven after baking at 6:45 PM
Remind me to buy a new toothbrush next time I'm at the store.,,,Buy new toothbrush
Remind me to send a thank-you email to the client after the meeting.,,,Send thank-you email to client after meeting
Remind me to set goals for the new month on the first day.,,first day of the month,Set goals for new month
Remind me to update my LinkedIn profile next month.,,next month,Update LinkedIn profile
Remind me to charge my phone before going to bed every night.,,every night,Charge phone before going to bed
Remind me to write a progress report every Friday afternoon.,afternoon,Friday,Write progress report
Remind me to check for any missed calls before leaving the office.,,,Check for missed calls before leaving office
Remind me to pack my gym bag for the morning workout.,,,Pack gym bag for morning workout
Remind me to take a photo of something beautiful today.,,today,Take photo of something beautiful
Remind me to update the software on my phone next Sunday.,,next Sunday,Update software on phone
Remind me to unsubscribe from unnecessary email subscriptions.,,,Unsubscribe from unnecessary email subscriptions
Remind me to declutter and organize my desk on the first day of the month.,,first day of  the month,Declutter and organize desk
Remind me to check my credit card statement for any unauthorized transactions.,,,Check credit card statement for unauthorized transactions
Remind me to water the indoor plants every Monday.,,every Monday,Water indoor plants
Remind me to set aside time for self-care this weekend.,,this weekend,Set aside time for self-care
Remind me to update my password for online accounts every three months.,,every three months,Update password for online accounts
Remind me to return library books before the due date.,,,Return library books before due date
Remind me to send birthday wishes to a friend on their birthday.,,,Send birthday wishes to friend
