input,indices
repeat this reminder weekly,"['B-task_detail', 'O', 'O', 'B-date']"
remind me next tuesday that i have a doctors appointment,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail']"
remind me of my doctors appointment,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail']"
can you send me a reminder to bring my coupons with me on thursday,"['O', 'O', 'O', 'B-task_detail', 'O', 'O', 'O', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-date']"
remind me again tomorrow,"['B-task_detail', 'I-task_detail', 'I-task_detail', 'B-date']"
remind me about ordering pants for my daughter,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
set a reminder alarm for 2 pm,"['O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'O', 'B-time']"
remind me about my dentist appointment at 200 pm on wednesday,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-time', 'I-time', 'O', 'B-date']"
remind me to pick up raymond at 3 pm,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-time', 'I-time']"
remind me about evelyns play on tuesday at 6 pm,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-date', 'O', 'B-time', 'I-time']"
remind me to take my pills tomorrow morning,"['O', 'O', 'O', 'B-task_detail', 'O', 'I-task_detail', 'B-date', 'B-time']"
remind me an hour before my appointment,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
add a reminder to add washer fluid to my car,"['B-task_detail', 'O', 'O', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
set a reminder called golf for this sunday at 7 am,"['O', 'O', 'O', 'O', 'B-task_detail', 'O', 'O', 'B-date', 'O', 'B-time', 'I-time']"
remind me to pick up dry cleaning this afternoon,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-time']"
reminder to complete the list,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail']"
add a reminder for next sundays event,"['O', 'O', 'O', 'O', 'O', 'O', 'B-task_detail']"
add a reminder for the dance recital on friday at 2 pm,"['O', 'O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-date', 'O', 'B-time', 'I-time']"
remind me of my appointment with my insurance agent at 10 tomorrow,"['O', 'O', 'O', 'O', 'B-task_detail', 'O', 'O', 'I-task_detail', 'I-task_detail', 'O', 'B-time', 'B-date']"
remind me of my dinner reservations tonight,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'B-date']"
lets set a reminder tomorrow that its a week until payday,"['O', 'O', 'B-task_detail', 'O', 'B-date', 'O', 'O', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
i need to go grocery shopping after work please put this on the calendar and remind me at 6 pm today,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-time', 'I-time', 'B-date']"
remind me every hour until i cancel,"['O', 'O', 'B-time', 'I-time', 'O', 'O', 'O']"
please remind me what time the movie starts tomorrow,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'B-date']"
remind me to pick up bread today,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'B-date']"
add a reminder to cancel hbo on 92317,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-date']"
remind me about my date tomorrow at 3 pm,"['O', 'O', 'O', 'O', 'B-task_detail', 'B-date', 'O', 'B-time', 'I-time']"
remind me of my doctors appointment at 1015 on wednesday,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-time', 'O', 'B-date']"
add a reminder to buy eggs tomorrow morning,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'B-date', 'B-time']"
add a reminder to go to the mechanic on monday at 1100 am,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-date', 'O', 'O', 'B-time']"
schedule a reminder for tomorrow,"['O', 'O', 'O', 'O', 'B-date']"
enable reminder,"['B-task_detail', 'I-task_detail']"
remind me i have a doctor appointment at 9,"['O', 'O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-time']"
remind me of my appointments tomorrow,"['O', 'O', 'O', 'O', 'B-task_detail', 'B-date']"
remind me to buy milk at safeway after august 25th,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O', 'O']"
remind me to take my dog out at 530,"['O', 'O', 'O', 'B-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'O', 'B-time']"
remind me when game of thrones comes back on air,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O']"
add a reminder to go work out today,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'B-date']"
remind me of the meeting today,"['O', 'O', 'O', 'O', 'B-task_detail', 'B-date']"
remind me to buy milk for tomorrow,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'B-date']"
weekly reminder to take out trash,"['B-date', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail']"
remind me when im at the store to buy pickles,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail']"
remind me 24 hours before my anniversary,"['O', 'O', 'B-time', 'I-time', 'O', 'O', 'B-date']"
games of thrones reminder,"['B-task_detail', 'I-task_detail', 'I-task_detail', 'O']"
remind me of the dogs grooming appointment tomorrow at 10 am,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'B-date', 'O', 'B-time', 'I-time']"
i need to get milk for the store please set a reminder,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O', 'O', 'O']"
remind me to buy eggs at acme this weekend,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-date']"
add a reminder to pick up milk,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail']"
remind me of my doctors appointment on monday at 10 am,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-date', 'O', 'B-time', 'I-time']"
remind me to cancel the doctors appointment on monday morning,"['O', 'O', 'O', 'B-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'O', 'B-date', 'B-time']"
remind me of the conference call friday,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'B-date']"
remind me to email my boss,"['O', 'O', 'O', 'B-task_detail', 'O', 'I-task_detail']"
add a reminder to buy a present for my niece for saturday,"['O', 'O', 'O', 'O', 'B-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'B-date']"
remind me of my appointment tomorrow at 430,"['O', 'O', 'O', 'O', 'B-task_detail', 'B-date', 'I-task_detail', 'B-time']"
remind me of my appointment tomorrow at 9 am,"['O', 'O', 'O', 'O', 'B-task_detail', 'B-date', 'O', 'B-time', 'I-time']"
remind me about dinner with tom,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail']"
remind me about tonys birthday next week,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'O']"
remind me to add shoes to amazon order,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
remind me to get gas on my way home,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
remind me tomorrow about my dentist appointment,"['O', 'O', 'B-date', 'O', 'O', 'B-task_detail', 'I-task_detail']"
remind me about my appointments,"['O', 'O', 'O', 'O', 'B-task_detail']"
add a reminder for daily exercise,"['O', 'O', 'O', 'O', 'B-date', 'B-task_detail']"
remind me to charge the battery at 15,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
repeat dog walk reminder each day,"['O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O']"
remind me to call my daughter please,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O']"
remind me to start a timer in twenty minutes,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-time', 'I-time']"
please remind me to set an alarm,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail']"
remind me to set my alarm for 8 am on sunday,"['O', 'O', 'O', 'B-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'B-time', 'I-time', 'O', 'B-date']"
remind me of my dentist appointment tomorrow,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'B-date']"
remind me about dentist appointment,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail']"
send a reminder about mels birthday on wednesday,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-date']"
add dentist to monday reminder,"['O', 'B-task_detail', 'O', 'B-date', 'O']"
remind me to fill my gas at the end of the day when i get out of work at 6 pm,"['O', 'O', 'O', 'B-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'O', 'I-task_detail', 'O', 'O', 'O', 'O', 'I-task_detail', 'O', 'I-task_detail', 'B-time', 'I-time']"
add a reminder,"['B-task_detail', 'I-task_detail', 'I-task_detail']"
remind me to call the pharmacy in the morning,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'I-task_detail', 'B-date']"
create new alarm reminder for groceries,"['O', 'O', 'O', 'O', 'O', 'B-task_detail']"
remind me of a doctors appointment on friday at 230 pm,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-date', 'O', 'B-time', 'I-time']"
remind me to go to my doctor appointment 2 hours before i need to be there,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O', 'I-task_detail', 'O', 'O']"
set an additional reminder,"['O', 'O', 'B-task_detail', 'I-task_detail']"
remind me to set an alarm for tomorrow morning,"['O', 'O', 'O', 'B-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'B-date', 'B-time']"
add a reminder for 8 am meeting on wednesday,"['O', 'O', 'O', 'O', 'B-time', 'I-time', 'B-task_detail', 'O', 'B-date']"
add reminder to send flowers to grandmother next week for birthday,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O', 'I-task_detail', 'I-task_detail']"
remind me of my meeting at 2 pm today,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'B-time', 'I-time', 'B-date']"
