input,time,date,task_detail
Add a reminder to pick up milk.,,,Pick up milk
Remind me of my doctor's appointment on Monday at 10 AM.,10 AM,Monday,Doctor's appointment
Remind me to cancel the doctor's appointment on Monday morning.,morning,Monday,Cancel doctor's appointment
Remind me of the conference call Friday.,,Friday,Conference call
Remind me to email my boss.,,,Email boss
Add a reminder to buy a present for my niece for Saturday.,,Saturday,Buy present for niece
Remind me of my appointment tomorrow at 4:30.,4:30 PM,tomorrow,Appointment at 4:30
Remind me of my appointment tomorrow at 9 AM.,9 AM,tomorrow,Appointment
Remind me about dinner with Tom.,,,Dinner with Tom
Remind me about Tony's birthday next week.,,next week,Tony's birthday
Remind me to add shoes to Amazon order.,,,Add shoes to Amazon order
Remind me to get gas on my way home.,,,Get gas on my way home
Remind me tomorrow about my dentist appointment.,,tomorrow,Dentist appointment
Remind me about my appointments.,,,Appointments
Add a reminder for daily exercise.,,daily,Daily exercise
Remind me to charge the battery at 15%.,,,Charge the battery at 15%
Repeat dog walk reminder each day.,,daily,Dog walk reminder
"Remind me to call my daughter, please.",,,Call my daughter
Remind me to start a timer in twenty minutes.,twenty minutes,,Start a timer
Please remind me to set an alarm.,,,Set an alarm
Remind me to set my alarm for 8 AM on Sunday.,8 AM,Sunday,Set alarm for 8 AM
Remind me of my dentist appointment tomorrow.,,tomorrow,Dentist appointment
Remind me about dentist appointment.,,,Dentist appointment
Send a reminder about Mel's birthday on Wednesday.,,Wednesday,Mel's birthday
Add dentist to Monday reminder.,,Monday,Dentist
Remind me to fill my gas at the end of the day when I get out of work at 6 PM.,6 PM,,Fill gas at end of day
Add a reminder.,,,Add a reminder
Remind me to call the pharmacy in the morning.,,morning,Call the pharmacy
Create new alarm reminder for groceries.,,,Groceries
Remind me of a doctor's appointment on Friday at 2:30 PM.,2:30 PM,Friday,Doctor's appointment
Remind me to go to my doctor appointment 2 hours before I need to be there.,,,Go to doctor appointment 2 hours before
Set an additional reminder.,,,Additional reminder
Remind me to set an alarm for tomorrow morning.,morning,tomorrow,Set alarm for tomorrow morning
Add a reminder for 8 AM meeting on Wednesday.,8 AM,Wednesday,8 AM meeting
Add reminder to send flowers to grandmother next week for birthday.,,next week,Send flowers to grandmother for birthday
Remind me of my meeting at 2 PM today.,2 PM,today,Meeting at 2 PM
