intent,datetime,query
reminder/set_reminder,26:53:reminder/todo,I don't want to forget to watch Sunday Night Football
reminder/set_reminder,26:51:reminder/todo,I don't want to forget to watch Saturday Night Live
reminder/set_reminder,26:51:reminder/todo,I don't want to forget to watch Saturday Night Live
reminder/set_reminder,26:51:reminder/todo,I don't want to forget to watch Saturday Night Live
reminder/set_reminder,26:59:reminder/todo,I don't want to forget to watch the latest press conference
reminder/set_reminder,26:59:reminder/todo,I don't want to forget to watch the latest press conference
reminder/set_reminder,26:59:reminder/todo,I don't want to forget to watch the latest press conference
reminder/set_reminder,27:45:reminder/todo,I don't watch to forget to call the president
reminder/set_reminder,27:45:reminder/todo,I don't watch to forget to call the president
reminder/set_reminder,27:45:reminder/todo,I don't watch to forget to call the president
reminder/set_reminder,26:46:reminder/todo,i don't want to forget to file the bug reports
reminder/set_reminder,26:46:reminder/todo,i don't want to forget to file the bug reports
reminder/set_reminder,26:46:reminder/todo,i don't want to forget to file the bug reports
reminder/set_reminder,26:53:reminder/todo,I don't want to forget to listen to the latest albums
reminder/set_reminder,26:53:reminder/todo,I don't want to forget to listen to the latest albums
reminder/set_reminder,26:53:reminder/todo,I don't want to forget to listen to the latest albums
reminder/set_reminder,26:52:reminder/todo,i don't want to forget to cook lunch for the Martins
reminder/set_reminder,26:52:reminder/todo,i don't want to forget to cook lunch for the Martins
reminder/set_reminder,26:52:reminder/todo,i don't want to forget to cook lunch for the Martins
reminder/set_reminder,26:42:reminder/todo,I don't want to forget to charge my laptop
reminder/set_reminder,26:42:reminder/todo,I don't want to forget to charge my laptop
reminder/set_reminder,26:42:reminder/todo,I don't want to forget to charge my laptop
reminder/set_reminder,26:49:reminder/todo,I don't want to forget to update the spreadsheets
reminder/set_reminder,26:49:reminder/todo,I don't want to forget to update the spreadsheets
reminder/set_reminder,26:49:reminder/todo,I don't want to forget to update the spreadsheets
reminder/set_reminder,26:45:reminder/todo,I don't want to forget to assign family tasks
reminder/set_reminder,26:45:reminder/todo,I don't want to forget to assign family tasks
reminder/set_reminder,26:45:reminder/todo,I don't want to forget to assign family tasks
reminder/set_reminder,25:33:reminder/todo,I want to be reminded to file tax
reminder/set_reminder,25:33:reminder/todo,I want to be reminded to file tax
reminder/set_reminder,25:33:reminder/todo,I want to be reminded to file tax
reminder/set_reminder,25:43:reminder/todo,I want to be reminded to take out the trash
reminder/set_reminder,25:43:reminder/todo,I want to be reminded to take out the trash
reminder/set_reminder,25:43:reminder/todo,I want to be reminded to take out the trash
reminder/set_reminder,25:36:reminder/todo,I want to be reminded to cook dinner
reminder/set_reminder,25:36:reminder/todo,I want to be reminded to cook dinner
reminder/set_reminder,25:36:reminder/todo,I want to be reminded to cook dinner
reminder/set_reminder,25:40:reminder/todo,I want to be reminded to go to the store
reminder/set_reminder,25:40:reminder/todo,I want to be reminded to go to the store
reminder/set_reminder,25:40:reminder/todo,I want to be reminded to go to the store
reminder/set_reminder,25:47:reminder/todo,I want to be reminded to watch the game tonight
reminder/set_reminder,25:47:reminder/todo,I want to be reminded to watch the game tonight
reminder/set_reminder,25:47:reminder/todo,I want to be reminded to watch the game tonight
reminder/set_reminder,25:33:reminder/todo,I want to be reminded to call dad
reminder/set_reminder,25:41:reminder/todo,I want to be reminded to go to the doctor
reminder/set_reminder,25:47:reminder/todo,I want to be reminded to go early to spin class
reminder/set_reminder,25:33:reminder/todo,I want to be reminded to wash dog
reminder/set_reminder,25:42:reminder/todo,I want to be reminded to make dinner early
reminder/set_reminder,25:42:reminder/todo,I want to be reminded to call my therapist
reminder/set_reminder,25:50:reminder/todo,I want to be reminded to charge electronic devices
reminder/set_reminder,25:38:reminder/todo,I want to be reminded to go take a nap
reminder/set_reminder,25:55:reminder/todo,I want to be reminded to help my daughter with homework
reminder/set_reminder,26:36:reminder/todo,I don't want to forget to file taxes
reminder/set_reminder,26:36:reminder/todo,I don't want to forget to file taxes
reminder/set_reminder,26:36:reminder/todo,I don't want to forget to file taxes
reminder/set_reminder,18:28:reminder/todo,I can't forget to file taxes
reminder/set_reminder,18:28:reminder/todo,I can't forget to file taxes
reminder/set_reminder,18:28:reminder/todo,I can't forget to file taxes
reminder/set_reminder,23:33:reminder/todo,Don't let me forget to file taxes
reminder/set_reminder,23:33:reminder/todo,Don't let me forget to file taxes
reminder/set_reminder,23:33:reminder/todo,Don't let me forget to file taxes
reminder/set_reminder,31:41:reminder/todo,Please do not let me forget to file taxes
reminder/set_reminder,31:41:reminder/todo,Please do not let me forget to file taxes
reminder/set_reminder,31:41:reminder/todo,Please do not let me forget to file taxes
reminder/set_reminder,19:29:reminder/todo,I cannot forget to file taxes
reminder/set_reminder,19:29:reminder/todo,I cannot forget to file taxes
reminder/set_reminder,19:29:reminder/todo,I cannot forget to file taxes
reminder/set_reminder,33:43:reminder/todo,I really don't want to forget to file taxes
reminder/set_reminder,33:43:reminder/todo,I really don't want to forget to file taxes
reminder/set_reminder,33:43:reminder/todo,I really don't want to forget to file taxes
reminder/set_reminder,25:35:reminder/todo,I really can't forget to file taxes
reminder/set_reminder,25:35:reminder/todo,I really can't forget to file taxes
reminder/set_reminder,25:35:reminder/todo,I really can't forget to file taxes
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to wash the dog
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to wash the dog
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to wash the dog
reminder/set_reminder,26:44:reminder/todo,I don't want to forget to take out the trash
reminder/set_reminder,26:44:reminder/todo,I don't want to forget to take out the trash
reminder/set_reminder,26:44:reminder/todo,I don't want to forget to take out the trash
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to clean my car
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to clean my car
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to clean my car
reminder/set_reminder,26:36:reminder/todo,I don't want to forget to go to work
reminder/set_reminder,26:36:reminder/todo,I don't want to forget to go to work
reminder/set_reminder,26:36:reminder/todo,I don't want to forget to go to work
reminder/set_reminder,26:42:reminder/todo,I don't want to forget my hair appointment
reminder/set_reminder,26:42:reminder/todo,I don't want to forget my hair appointment
reminder/set_reminder,26:42:reminder/todo,I don't want to forget my hair appointment
reminder/set_reminder,26:45:reminder/todo,i don't want to forget to go to band practice
reminder/set_reminder,26:45:reminder/todo,i don't want to forget to go to band practice
reminder/set_reminder,26:45:reminder/todo,i don't want to forget to go to band practice
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to feed to fish
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to feed to fish
reminder/set_reminder,26:38:reminder/todo,I don't want to forget to feed to fish
reminder/set_reminder,26:46:reminder/todo,I don't want to forget to drive to dad's house
reminder/set_reminder,26:46:reminder/todo,I don't want to forget to drive to dad's house
reminder/set_reminder,26:46:reminder/todo,I don't want to forget to drive to dad's house
reminder/set_reminder,26:57:reminder/todo,I don't want to forget to text my girlfriend about dinner
reminder/set_reminder,26:57:reminder/todo,I don't want to forget to text my girlfriend about dinner
reminder/set_reminder,26:57:reminder/todo,I don't want to forget to text my girlfriend about dinner
reminder/set_reminder,26:39:reminder/todo,I don't want to forget to pay the bills
reminder/set_reminder,26:39:reminder/todo,I don't want to forget to pay the bills
reminder/set_reminder,26:39:reminder/todo,I don't want to forget to pay the bills
reminder/set_reminder,26:55:reminder/todo,I don't want to forget to email my boss about the tests
reminder/set_reminder,26:55:reminder/todo,I don't want to forget to email my boss about the tests
reminder/set_reminder,26:55:reminder/todo,I don't want to forget to email my boss about the tests
reminder/set_reminder,26:39:reminder/todo,I don't want to forget to color my hair
reminder/set_reminder,26:39:reminder/todo,I don't want to forget to color my hair
reminder/set_reminder,26:39:reminder/todo,I don't want to forget to color my hair
reminder/set_reminder,26:41:reminder/todo,I don't want to forget to charge my phone
reminder/set_reminder,26:41:reminder/todo,I don't want to forget to charge my phone
reminder/set_reminder,26:41:reminder/todo,I don't want to forget to charge my phone
reminder/set_reminder,26:40:reminder/todo,I don't want to forget to pack my laptop
reminder/set_reminder,26:40:reminder/todo,I don't want to forget to pack my laptop
reminder/set_reminder,26:40:reminder/todo,I don't want to forget to pack my laptop
reminder/set_reminder,26:40:reminder/todo,I don't want to forget to grab the books
reminder/set_reminder,26:46:reminder/todo,I don't want to forget to change the fish tank
reminder/set_reminder,26:46:reminder/todo,I don't want to forget to change the fish tank
reminder/set_reminder,26:46:reminder/todo,I don't want to forget to change the fish tank
reminder/set_reminder,26:44:reminder/todo,I don't want to forget to clean the bathroom
reminder/set_reminder,26:44:reminder/todo,I don't want to forget to clean the bathroom
reminder/set_reminder,26:44:reminder/todo,I don't want to forget to clean the bathroom
reminder/set_reminder,"13:23:reminder/todo,24:39:datetime",remind me to call shawn on his birthday
reminder/set_reminder,"13:24:reminder/todo,25:40:datetime",remind me to call davide on his birthday
reminder/set_reminder,27:41:reminder/todo,i need assistance making a calendar event
reminder/set_reminder,"6:14:reminder/noun,18:49:reminder/todo,55:73:reminder/recurring_period",Set a reminder to give dogs heart worm medication ever 15th of each month
reminder/set_reminder,"7:12:reminder/noun,29:40:reminder/todo,41:54:datetime",Set an alarm to remind me to drink water every 2 hours
reminder/set_reminder,"0:8:reminder/noun,19:38:reminder/todo",Reminder to make a dentist appointment
reminder/set_reminder,"13:30:reminder/todo,31:44:datetime",remind me to check on my pizza in 14 minutes
reminder/set_reminder,"19:53:reminder/todo,54:64:datetime",Remind me about my doctors appointment next Wednesday on Tuesday
reminder/set_reminder,16:56:reminder/todo,remind me of my meeting tonight at 7 at the ems building
reminder/set_reminder,"12:20:reminder/noun,21:27:reminder/recurring_period",repeat this reminder weekly
reminder/set_reminder,"10:22:datetime,37:56:reminder/todo",remind me next tuesday that i have a doctors appointment
reminder/set_reminder,16:29:reminder/todo,Remind me of my Doctor's appt
reminder/set_reminder,"18:26:reminder/noun,30:46:reminder/todo,55:66:datetime",can you send me a reminder to bring my coupons with me on Thursday
reminder/set_reminder,16:24:datetime,Remind me again tomorrow
reminder/set_reminder,13:40:reminder/todo,remind about ordering pants for daughter
reminder/set_reminder,"6:14:reminder/noun,21:28:datetime",Set a reminder alarm for 2pm
reminder/set_reminder,"19:38:reminder/todo,39:61:datetime",Remind me about my dentist appointment at 2:00PM on Wednesday
reminder/set_reminder,"13:28:reminder/todo,29:35:datetime",Remind me to pick up Raymond at 3pm
reminder/set_reminder,"16:29:reminder/todo,30:46:datetime",Remind me about Evelyn's play Tuesday at 6 p.m
reminder/set_reminder,"13:26:reminder/todo,27:43:datetime",remind me to take my pills tomorrow morning
reminder/set_reminder,"10:17:datetime,28:39:reminder/todo",Remind me an hour before my appointment
reminder/set_reminder,"4:12:reminder/noun,16:42:reminder/todo",Add reminder to add washer fluid to my car
reminder/set_reminder,"6:14:reminder/noun,22:26:reminder/todo,27:54:datetime","set a reminder called golf for this sunday at seven am, set an alarm for this reminder to go off 30 minutes beforehand"
reminder/set_reminder,"13:33:reminder/todo,34:48:datetime",Remind me to pick up dry cleaning this afternoon
reminder/set_reminder,"0:8:reminder/noun,12:25:reminder/todo",reminder to complete list
reminder/set_reminder,"4:12:reminder/noun,13:29:datetime,30:35:reminder/todo",add reminder for next Sundays event
reminder/set_reminder,"6:14:reminder/noun,23:36:reminder/todo,37:53:datetime",Add a reminder for the dance recital on friday at 2pm
reminder/set_reminder,"13:51:reminder/todo,52:66:datetime",remind me of my appointment with my insurance agent at 10 tomorrow
reminder/set_reminder,"13:35:reminder/todo,36:43:datetime",Remind me of my dinner reservations tonight
reminder/set_reminder,"12:20:reminder/noun,21:29:datetime,35:57:reminder/todo",Let's set a reminder tomorrow that it's a week til payday
reminder/set_reminder,"10:40:reminder/todo,88:101:datetime","I need to go grocery shopping after work, please put this on the calendar and remind me at 6 pm today"
reminder/set_reminder,10:20:reminder/recurring_period,remind me every hour till I cancel
reminder/set_reminder,"17:43:reminder/todo,44:52:datetime",Please remind me what time the movie starts tomorrow
reminder/set_reminder,"13:26:reminder/todo,27:32:datetime",remind me to pick up bread today
reminder/set_reminder,"4:12:reminder/noun,16:26:reminder/todo,27:37:datetime",Add reminder to cancel HBO in 9/23/17
reminder/set_reminder,"19:23:reminder/todo,24:39:datetime",remind me about my date tomorrow at 3pm
reminder/set_reminder,"16:35:reminder/todo,36:54:datetime",Remind me of my doctors appointment at 10:15 Wednesday
reminder/set_reminder,"6:14:reminder/noun,18:26:reminder/todo,27:43:datetime",Add a reminder to buy eggs tomorrow morning
reminder/set_reminder,"4:12:reminder/noun,16:30:reminder/todo,31:53:datetime",Add reminder to go to mechanic for Monday at 11:00 am
reminder/set_reminder,"9:17:reminder/noun,18:30:datetime",schedule reminder for tomorrow
reminder/set_reminder,7:15:reminder/noun,enable reminder
reminder/set_reminder,22:60:reminder/todo,remind me that I have reservation for a hotel in Carson city
reminder/set_reminder,"19:37:reminder/todo,38:42:datetime",Remind me I have a doctor appointment at 9
reminder/set_reminder,"16:28:reminder/todo,29:37:datetime",Remind me of my appointments tomorrow
reminder/set_reminder,"13:32:reminder/todo,33:50:datetime",Remind me to buy milk at Safaway after August 25th
reminder/set_reminder,"13:28:reminder/todo,29:36:datetime",Remind me to take my dog out at 5:30
reminder/set_reminder,15:48:reminder/todo,remind me when game of thrones comes back on air
reminder/set_reminder,"6:14:reminder/noun,18:29:reminder/todo,30:35:datetime",add a reminder to go work out today
reminder/set_reminder,"17:24:reminder/todo,25:30:datetime",remind me of the meeting today
reminder/set_reminder,"13:21:reminder/todo,22:34:datetime",Remind me to buy milk for tommorow
reminder/set_reminder,"0:6:reminder/recurring_period,7:15:reminder/noun,19:33:reminder/todo",Weekly reminder to take out trash
reminder/set_reminder,35:46:reminder/todo,Remind me when I'm at the store to buy pickles
reminder/set_reminder,0:40:reminder/todo,Remind me 24 hours before my anniversary
reminder/set_reminder,"0:15:reminder/todo,16:24:reminder/noun",GAMES OF THRONE REMINDER
reminder/set_reminder,"17:36:reminder/todo,37:54:datetime",Remind me of the dog's grooming appt tomorrow at 10 am
reminder/set_reminder,"10:32:reminder/todo,47:55:reminder/noun",i need to get milk for the store. please set a reminder
reminder/set_reminder,"13:29:reminder/todo,30:42:datetime",remind me to buy eggs at acme this weekend
reminder/set_reminder,"6:14:reminder/noun,18:30:reminder/todo",add a reminder to pick up milk
reminder/set_reminder,"13:35:reminder/todo,36:54:datetime",Remind me of my doctors appointment on Monday at 10 AM
reminder/set_reminder,"13:44:reminder/todo,45:62:datetime",Remind me to cancel the doctor's appointment on Monday morning
reminder/set_reminder,"17:32:reminder/todo,33:39:datetime",Remind me of the conference call Friday
reminder/set_reminder,13:26:reminder/todo,Remind me to email my boss
reminder/set_reminder,"6:14:reminder/noun,18:44:reminder/todo,45:57:datetime",Add a reminder to buy a present for my niece for Saturday
reminder/set_reminder,"16:27:reminder/todo,28:44:datetime",Remind me of my appointment tomorrow at 4:30
reminder/set_reminder,"16:27:reminder/todo,28:44:datetime",remind me of my appointment tomorrow at 9 am
reminder/set_reminder,16:31:reminder/todo,remind me about dinner with Tom
reminder/set_reminder,"16:31:reminder/todo,32:41:datetime",Remind me about Tony's birthday next week
reminder/set_reminder,13:38:reminder/todo,Remind me to add shoes to amazon order
reminder/set_reminder,13:35:reminder/todo,remind me to get gas on my way home
reminder/set_reminder,"10:18:datetime,28:47:reminder/todo",Remind me tomorrow about my dentist appointment
reminder/set_reminder,19:31:reminder/todo,remind me about my appointments
reminder/set_reminder,"6:14:reminder/noun,19:24:reminder/recurring_period,25:33:reminder/todo",add a reminder for daily exercise
reminder/set_reminder,10:32:reminder/todo,remind to charge battery at 15 %
reminder/set_reminder,"7:15:reminder/todo,16:24:reminder/noun,25:33:reminder/recurring_period",Repeat dog walk reminder each day
reminder/set_reminder,13:29:reminder/todo,"Remind me to call my daughter, please"
reminder/set_reminder,"13:26:reminder/todo,27:44:datetime",Remind me to start a timer in twenty minutes
reminder/set_reminder,20:32:reminder/todo,Please remind me to set an alarm
reminder/set_reminder,"13:25:reminder/todo,26:44:datetime",remind me to set my alarm for 8 am on sunday
reminder/set_reminder,"16:35:reminder/todo,36:44:datetime",remind me of my dentist appointment tomorrow
reminder/set_reminder,16:35:reminder/todo,Remind me about dentist appointment
reminder/set_reminder,"7:15:reminder/noun,22:36:reminder/todo,37:46:datetime",Send a reminder about Mel's birthday Wednesday
reminder/set_reminder,"4:11:reminder/todo,12:21:datetime,22:30:reminder/noun",add dentist to monday reminder
reminder/set_reminder,"13:69:reminder/todo,70:76:datetime",Remind me to fill my gas at the end of the day when I get out of work at 6pm
reminder/set_reminder,6:14:reminder/noun,add a reminder
reminder/set_reminder,"13:41:reminder/todo,42:58:datetime",Remind me my son has a doctor appointment at 9am Wednesday
reminder/set_reminder,11:19:reminder/noun,What is my reminder for tomorrow/
reminder/set_reminder,"13:30:reminder/todo,31:45:datetime",Remind me to call the pharmacy in the morning
reminder/set_reminder,"17:25:reminder/noun,26:35:reminder/todo",create new alarm reminder groceries
reminder/set_reminder,"15:34:reminder/todo,35:54:datetime",remind me of a doctors appointment on friday at 2:30pm
reminder/set_reminder,"13:40:reminder/todo,41:55:datetime",Remind me to go to my doctor appointment 2 hours before I need to be there
reminder/set_reminder,18:26:reminder/noun,set an additional reminder
reminder/set_reminder,"13:25:reminder/todo,26:46:datetime",Remind me to set an alarm for tomorrow morning
reminder/set_reminder,"6:14:reminder/noun,15:22:datetime,23:30:reminder/todo,31:43:datetime",Add a reminder for 8am meeting on Wednesday
reminder/set_reminder,"4:12:reminder/noun,16:43:reminder/todo,44:53:datetime",Add reminder to send flowers to grandmother next week for birthday
reminder/set_reminder,"16:23:reminder/todo,24:36:datetime",Remind me of my meeting at 2pm today
reminder/set_reminder,"5:11:reminder/recurring_period,12:21:reminder/noun",Save yearly reminders
reminder/set_reminder,"13:29:reminder/todo,30:40:datetime",remind me of Kayla's birthday on Tuesday
reminder/set_reminder,23:52:reminder/todo,Please remind me of my daughter's doctor appointment
reminder/set_reminder,"15:38:reminder/todo,39:51:datetime",Remind me that school starts next week this weekend
reminder/set_reminder,"0:8:reminder/noun,12:31:reminder/todo,32:39:datetime",reminder of dentist appointment at 1 pm
reminder/set_reminder,"16:36:reminder/todo,37:47:datetime",remind me about doctor's appointment next month
reminder/set_reminder,"10:20:datetime,36:67:reminder/todo",remind me on Tuesday that I have an after-work meeting on Wednesday
reminder/set_reminder,"17:37:reminder/todo,43:51:reminder/noun",set my alarm for tonights Empire show as a reminder
reminder/set_reminder,"13:25:reminder/todo,26:33:datetime",remind me to set my alarm tonight
reminder/set_reminder,13:39:reminder/todo,remind me to change doctors appointment
reminder/set_reminder,"16:29:reminder/todo,30:40:datetime",Remind me of my pilates class at 6:00 pm
reminder/set_reminder,"10:27:reminder/todo,31:40:datetime",remind me maggie's birthday is august 17
reminder/set_reminder,13:40:reminder/todo,Remind me to take Max to the dog groomer
reminder/set_reminder,"16:21:reminder/todo,22:32:datetime",remind me of my alarm in 2 hours
reminder/set_reminder,13:23:reminder/todo,Remind me of work times
reminder/set_reminder,13:40:reminder/todo,remind me to pic my daughter from school
reminder/set_reminder,"0:8:reminder/noun,9:30:reminder/todo,31:47:datetime",reminder pick up birthday cake today at 3:30 pm
reminder/set_reminder,"10:36:reminder/todo,37:46:datetime",remind me about my sister's birthday on friday
reminder/set_reminder,37:55:datetime,Remind me to pay my electricity bill on August the 14th
reminder/set_reminder,26:44:reminder/todo,Set alarm to remind me to place amazon order
reminder/set_reminder,"19:39:reminder/todo,40:51:datetime",Remind me about my doctor's appointment on Thursday
reminder/set_reminder,"6:14:reminder/noun,23:38:reminder/todo,39:53:datetime",Set a reminder for the vet appointment in the morning
reminder/set_reminder,"6:14:reminder/noun,15:27:datetime,28:40:reminder/todo",Add a reminder for Saturday Ladies Night
reminder/set_reminder,"16:36:reminder/todo,37:45:datetime",Remind me of my doctor's appointment tomorrow
reminder/set_reminder,"10:30:datetime,31:47:reminder/todo",remind me on March 1st at 2 pm join the webinar
reminder/set_reminder,24:37:datetime,Remind me with an alarm in 10 minutes
reminder/set_reminder,13:31:reminder/todo,remind me to watch Walking Dead
reminder/set_reminder,"4:12:reminder/noun,16:25:reminder/todo,26:32:datetime",Add reminder to call Bill at 6pm
reminder/set_reminder,"10:15:datetime,21:33:reminder/todo",remind me at 11 that it is friday
reminder/set_reminder,"12:20:reminder/noun,24:34:reminder/todo,35:51:datetime",prepone the reminder to buy coffee to 4:30 pm today
reminder/set_reminder,"13:21:reminder/noun,25:51:reminder/todo,52:60:datetime",Please add a reminder to get peppers at the grocery tomorrow
reminder/set_reminder,"4:12:reminder/noun,16:25:reminder/todo,26:33:datetime",Add reminder to pay bills tonight
reminder/set_reminder,13:27:reminder/todo,remind me to return the DVD
reminder/set_reminder,"4:12:reminder/noun,17:28:reminder/todo,29:40:datetime",Add reminder for Jen's party August 10th
reminder/set_reminder,"6:14:reminder/noun,22:26:reminder/todo,27:54:datetime","set a reminder called golf for this sunday at seven am, set an alarm for this reminder to go off 30 minutes beforehand"
reminder/set_reminder,17:44:reminder/todo,remind me of the restaurant I saw in Chicago
reminder/set_reminder,28:47:reminder/todo,remind me the day before my dentist appointment
reminder/set_reminder,"10:22:datetime,26:36:reminder/todo",remind me 20min before my chiro appt
reminder/set_reminder,"13:30:reminder/todo,31:37:datetime",remind me to pay my phone bill on 8/1
reminder/set_reminder,"13:34:reminder/todo,35:43:datetime",remind me to get eggs at the store tomorrow
reminder/set_reminder,"4:12:reminder/noun,13:23:datetime,27:51:reminder/todo",Set reminder in 30 mins to add chemicals to my pool
reminder/set_reminder,"6:14:reminder/noun,18:33:reminder/todo",Add a reminder to clean the house
reminder/set_reminder,"16:37:reminder/todo,38:51:datetime",Remind me of my dentist's appointment today at 4 pm
reminder/set_reminder,"17:37:reminder/todo,38:46:datetime",Remind me of the field trip at school tomorrow
reminder/set_reminder,"12:20:reminder/noun,29:39:reminder/todo",Show me the reminder for the house tour
reminder/set_reminder,"13:25:reminder/todo,26:39:datetime",Remind me to set an alarm in 30 minutes
reminder/set_reminder,13:43:reminder/todo,Remind me to set the house alarm each night
reminder/set_reminder,"13:23:reminder/todo,24:44:datetime",Remind me of date night for tomorrow at 8 pm
reminder/set_reminder,28:47:reminder/todo,Remind me an hour before my doctors appointment
reminder/set_reminder,10:29:reminder/todo,Remind me when payment is due
reminder/set_reminder,"13:32:reminder/todo,33:47:datetime",remind me of haircut appointment Wednesday at 4
reminder/set_reminder,"21:29:reminder/recurring_period,35:52:reminder/todo",remind me when it is two days from husbands birthday
reminder/set_reminder,"13:25:reminder/todo,26:41:datetime",remind me to sell my home tomorrow at 8pm with alarm
reminder/set_reminder,"17:46:reminder/todo,49:60:datetime",Remind me of the work deadline for the project a week before it is due
reminder/set_reminder,"13:21:reminder/todo,22:27:datetime",Remind me to call mom at 10
reminder/set_reminder,"16:26:reminder/todo,27:43:datetime",Remind me about game night on Friday at 4pm
reminder/set_reminder,"16:35:reminder/todo,36:45:datetime",remind me about doctors appointment on monday
reminder/set_reminder,"10:18:reminder/noun,19:35:reminder/recurring_period",beep me a reminder every 10 minutes
reminder/set_reminder,"24:37:reminder/todo,38:47:datetime",please remind me of any doctor appts. next week
