input,time,date,task_detail,new_column
set a reminder to give dogs heartworm medication on the 15th of each month,nan,15th of each month,give dogs heartworm medication,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 0, 0, 0, 0, 0]"
set an alarm to remind me to drink water every 2 hours,every 2 hours,nan,drink water,"[0, 0, 0, 0, 0, 0, 0, 'task_detail', 'task_detail', 'time', 'time', 'time']"
reminder to make a dentist appointment,nan,nan,make a dentist appointment,"[0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
remind me to check on my pizza in 14 minutes,nan,nan,check on my pizza,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 0, 0]"
remind me about my doctors appointment next wednesday on tuesday,nan,tuesday,doctors appointment next wednesday,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 'date']"
remind me of my meeting tonight at 7 at the ems building,700 pm,nan,meeting tonight at the ems building,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
repeat this reminder weekly,nan,weekly,repeat,"['task_detail', 0, 0, 'date']"
remind me next tuesday that i have a doctors appointment,nan,next tuesday,doctors appointment,"[0, 0, 0, 0, 0, 0, 0, 0, 'task_detail', 'task_detail']"
remind me of my doctors appointment,nan,nan,doctors appointment,"[0, 0, 0, 0, 'task_detail', 'task_detail']"
can you send me a reminder to bring my coupons with me on thursday,nan,thursday,bring my coupons with me,"[0, 0, 0, 'task_detail', 0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 'date']"
remind me again tomorrow,nan,tomorrow,remind me again,"['task_detail', 'task_detail', 'task_detail', 'date']"
remind me about ordering pants for my daughter,nan,nan,ordering pants for my daughter,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
set a reminder alarm for 2 pm,200 pm,nan,reminder alarm,"[0, 0, 'task_detail', 'task_detail', 0, 0, 'time']"
remind me about my dentist appointment at 200 pm on wednesday,200 pm,wednesday,dentist appointment,"[0, 0, 0, 0, 'task_detail', 'task_detail', 0, 'time', 'time', 0, 'date']"
remind me to pick up raymond at 3 pm,3 pm,nan,pick up raymond,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 'time', 'time']"
remind me about evelyns play on tuesday at 6 pm,6 pm,tuesday,evelyns play,"[0, 0, 0, 'task_detail', 'task_detail', 0, 'date', 0, 'time', 'time']"
remind me to take my pills tomorrow morning,morning,tomorrow,take pills,"[0, 0, 0, 'task_detail', 0, 'task_detail', 'date', 'time']"
remind me an hour before my appointment,nan,nan,an hour before my appointment,"[0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
add a reminder to add washer fluid to my car,nan,nan,add washer fluid to my car,"['task_detail', 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
set a reminder called golf for this sunday at 7 am,7 am,sunday,golf,"[0, 0, 0, 0, 'task_detail', 0, 0, 'date', 0, 'time', 'time']"
remind me to pick up dry cleaning this afternoon,afternoon,nan,pick up dry cleaning,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 'time']"
reminder to complete the list,nan,nan,complete the list,"[0, 0, 'task_detail', 'task_detail', 'task_detail']"
add a reminder for next sundays event,nan,next sunday,event,"[0, 0, 0, 0, 0, 0, 'task_detail']"
add a reminder for the dance recital on friday at 2 pm,2 pm,friday,dance recital,"[0, 0, 0, 0, 0, 'task_detail', 'task_detail', 0, 'date', 0, 'time', 'time']"
remind me of my appointment with my insurance agent at 10 tomorrow,10,tomorrow,insurance agent appointment,"[0, 0, 0, 0, 'task_detail', 0, 0, 'task_detail', 'task_detail', 0, 'time', 'date']"
remind me of my dinner reservations tonight,nan,tonight,dinner reservations,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'date']"
lets set a reminder tomorrow that its a week until payday,nan,tomorrow,a week until payday,"[0, 0, 'task_detail', 0, 'date', 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
i need to go grocery shopping after work please put this on the calendar and remind me at 6 pm today,6 pm,today,go grocery shopping after work,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'time', 'time', 'date']"
remind me every hour until i cancel,every hour,nan,nan,"[0, 0, 'time', 'time', 0, 0, 0]"
please remind me what time the movie starts tomorrow,nan,tomorrow,what time the movie starts,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'date']"
remind me to pick up bread today,nan,today,pick up bread,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'date']"
add a reminder to cancel hbo on 92317,nan,92317,cancel hbo,"[0, 0, 0, 0, 'task_detail', 'task_detail', 0, 'date']"
remind me about my date tomorrow at 3 pm,3 pm,tomorrow,date,"[0, 0, 0, 0, 'task_detail', 'date', 0, 'time', 'time']"
remind me of my doctors appointment at 1015 on wednesday,1015,wednesday,doctors appointment,"[0, 0, 0, 0, 'task_detail', 'task_detail', 0, 'time', 0, 'date']"
add a reminder to buy eggs tomorrow morning,morning,tomorrow,buy eggs,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'date', 'time']"
add a reminder to go to the mechanic on monday at 1100 am,11 am,monday,go to the mechanic,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 'date', 0, 0, 'time']"
schedule a reminder for tomorrow,nan,tomorrow,nan,"[0, 0, 0, 0, 'date']"
enable reminder,nan,nan,enable reminder,"['task_detail', 'task_detail']"
remind me i have a doctor appointment at 9,9 am,nan,doctor appointment,"[0, 0, 0, 0, 0, 'task_detail', 'task_detail', 0, 'time']"
remind me of my appointments tomorrow,nan,tomorrow,appointments,"[0, 0, 0, 0, 'task_detail', 'date']"
remind me to buy milk at safeway after august 25th,nan,august 25th,buy milk at safeway,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 0, 0]"
remind me to take my dog out at 530,530 pm,nan,take dog out,"[0, 0, 0, 'task_detail', 0, 'task_detail', 'task_detail', 0, 'time']"
remind me when game of thrones comes back on air,nan,nan,game of thrones comes back,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 0]"
add a reminder to go work out today,nan,today,go work out,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'date']"
remind me of the meeting today,nan,today,meeting,"[0, 0, 0, 0, 'task_detail', 'date']"
remind me to buy milk for tomorrow,nan,tomorrow,buy milk for tomorrow,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'date']"
weekly reminder to take out trash,nan,weekly,take out trash,"['date', 0, 0, 'task_detail', 'task_detail', 'task_detail']"
remind me when im at the store to buy pickles,nan,nan,buy pickles,"[0, 0, 0, 0, 0, 0, 0, 0, 'task_detail', 'task_detail']"
remind me 24 hours before my anniversary,24 hours,anniversary,nan,"[0, 0, 'time', 'time', 0, 0, 'date']"
games of thrones reminder,nan,nan,games of thrones,"['task_detail', 'task_detail', 'task_detail', 0]"
remind me of the dogs grooming appointment tomorrow at 10 am,10 am,tomorrow,dogs grooming appointment,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'date', 0, 'time', 'time']"
i need to get milk for the store please set a reminder,nan,nan,get milk for the store,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 0, 0, 0]"
remind me to buy eggs at acme this weekend,nan,weekend,buy eggs at acme,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 'date']"
add a reminder to pick up milk,nan,nan,pick up milk,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'task_detail']"
remind me of my doctors appointment on monday at 10 am,10 am,monday,doctors appointment,"[0, 0, 0, 0, 'task_detail', 'task_detail', 0, 'date', 0, 'time', 'time']"
remind me to cancel the doctors appointment on monday morning,morning,monday,cancel doctors appointment,"[0, 0, 0, 'task_detail', 0, 'task_detail', 'task_detail', 0, 'date', 'time']"
remind me of the conference call friday,nan,friday,conference call,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'date']"
remind me to email my boss,nan,nan,email boss,"[0, 0, 0, 'task_detail', 0, 'task_detail']"
add a reminder to buy a present for my niece for saturday,nan,saturday,buy present for niece,"[0, 0, 0, 0, 'task_detail', 0, 'task_detail', 'task_detail', 0, 'task_detail', 'task_detail', 'date']"
remind me of my appointment tomorrow at 430,430 pm,tomorrow,appointment at 430,"[0, 0, 0, 0, 'task_detail', 'date', 'task_detail', 'time']"
remind me of my appointment tomorrow at 9 am,9 am,tomorrow,appointment,"[0, 0, 0, 0, 'task_detail', 'date', 0, 'time', 'time']"
remind me about dinner with tom,nan,nan,dinner with tom,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail']"
remind me about tonys birthday next week,nan,next week,tonys birthday,"[0, 0, 0, 'task_detail', 'task_detail', 0, 0]"
remind me to add shoes to amazon order,nan,nan,add shoes to amazon order,"[0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
remind me to get gas on my way home,nan,nan,get gas on my way home,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
remind me tomorrow about my dentist appointment,nan,tomorrow,dentist appointment,"[0, 0, 'date', 0, 0, 'task_detail', 'task_detail']"
remind me about my appointments,nan,nan,appointments,"[0, 0, 0, 0, 'task_detail']"
add a reminder for daily exercise,nan,daily,daily exercise,"[0, 0, 0, 0, 'date', 'task_detail']"
remind me to charge the battery at 15,nan,nan,charge the battery at 15,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail']"
repeat dog walk reminder each day,nan,daily,dog walk reminder,"[0, 'task_detail', 'task_detail', 'task_detail', 0, 0]"
remind me to call my daughter please,nan,nan,call my daughter,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 0]"
remind me to start a timer in twenty minutes,twenty minutes,nan,start a timer,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 'time', 'time']"
please remind me to set an alarm,nan,nan,set an alarm,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'task_detail']"
remind me to set my alarm for 8 am on sunday,8 am,sunday,set alarm for 8 am,"[0, 0, 0, 'task_detail', 0, 'task_detail', 'task_detail', 'time', 'time', 0, 'date']"
remind me of my dentist appointment tomorrow,nan,tomorrow,dentist appointment,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'date']"
remind me about dentist appointment,nan,nan,dentist appointment,"[0, 0, 0, 'task_detail', 'task_detail']"
send a reminder about mels birthday on wednesday,nan,wednesday,mels birthday,"[0, 0, 0, 0, 'task_detail', 'task_detail', 0, 'date']"
add dentist to monday reminder,nan,monday,dentist,"[0, 'task_detail', 0, 'date', 0]"
remind me to fill my gas at the end of the day when i get out of work at 6 pm,6 pm,nan,fill gas at end of day,"[0, 0, 0, 'task_detail', 0, 'task_detail', 'task_detail', 0, 'task_detail', 'task_detail', 0, 'task_detail', 0, 0, 0, 0, 'task_detail', 0, 'task_detail', 'time', 'time']"
add a reminder,nan,nan,add a reminder,"['task_detail', 'task_detail', 'task_detail']"
remind me to call the pharmacy in the morning,nan,morning,call the pharmacy,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 'task_detail', 'date']"
create new alarm reminder for groceries,nan,nan,groceries,"[0, 0, 0, 0, 0, 'task_detail']"
remind me of a doctors appointment on friday at 230 pm,230 pm,friday,doctors appointment,"[0, 0, 0, 0, 'task_detail', 'task_detail', 0, 'date', 0, 'time', 'time']"
remind me to go to my doctor appointment 2 hours before i need to be there,nan,nan,go to doctor appointment 2 hours before,"[0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 0, 'task_detail', 0, 0]"
set an additional reminder,nan,nan,additional reminder,"[0, 0, 'task_detail', 'task_detail']"
remind me to set an alarm for tomorrow morning,morning,tomorrow,set alarm for tomorrow morning,"[0, 0, 0, 'task_detail', 0, 'task_detail', 'task_detail', 'date', 'time']"
add a reminder for 8 am meeting on wednesday,8 am,wednesday,8 am meeting,"[0, 0, 0, 0, 'time', 'time', 'task_detail', 0, 'date']"
add reminder to send flowers to grandmother next week for birthday,nan,next week,send flowers to grandmother for birthday,"[0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 0, 'task_detail', 'task_detail']"
remind me of my meeting at 2 pm today,2 pm,today,meeting at 2 pm,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'time', 'time', 'date']"
