input,task,time,date,task_detail
"Remind me on March 1st at 2 PM to join the webinar.","set_reminder","2:00 PM","March 1st","Join the webinar on March 1st"
"Remind me with an alarm in 10 minutes.","set_reminder","","10 minutes","Alarm in 10 minutes"
"Remind me to watch Walking Dead.","set_reminder","","","Watch Walking Dead"
"Add reminder to call Bill at 6 PM.","set_reminder","6:00 PM","","Call Bill at 6 PM"
"Remind me it is Friday at 11 AM.","set_reminder","11:00 AM","","It is Friday at 11 AM"
"Prepone the reminder to buy coffee to 4:30 PM today.","set_reminder","4:30 PM","today","Buy coffee at 4:30 PM today"
"Please add a reminder to get peppers at the grocery tomorrow.","set_reminder","","tomorrow","Get peppers at the grocery tomorrow"
"Add reminder to pay bills tonight.","set_reminder","","tonight","Pay bills tonight"
"Remind me to return the DVD.","set_reminder","","","Return the DVD"
"Add reminder for Jen's party on August 10th.","set_reminder","","August 10th","Jen's party on August 10th"
"Set a reminder called golf for this Sunday at 7 AM, set an alarm for this reminder to go off 30 minutes beforehand.","set_reminder","7:00 AM","this Sunday","Golf"
"Remind me of the restaurant I saw in Chicago.","set_reminder","","","Restaurant in Chicago"
"Remind me the day before my dentist appointment.","set_reminder","","","Day before dentist appointment"
"Remind me 20 minutes before my chiropractor appointment.","set_reminder","","20 minutes before","Chiropractor appointment"
"Remind me to pay my phone bill on August 1st.","set_reminder","","August 1st","Pay phone bill on August 1st"
"Remind me to get eggs at the store tomorrow.","set_reminder","","tomorrow","Get eggs at the store tomorrow"
"Set reminder in 30 minutes to add chemicals to my pool.","set_reminder","","30 minutes","Add chemicals"
"Remind me to set my alarm for 8 AM on Sunday.","set_reminder","8:00 AM","Sunday","Set alarm for 8 AM on Sunday"
"Remind me of my dentist appointment tomorrow.","set_reminder","","tomorrow","Dentist appointment tomorrow"
"Remind me about dinner with Tom.","set_reminder","","","Dinner with Tom"
"Remind me about Tony's birthday next week.","set_reminder","","next week","Tony's birthday next week"
"Remind me to add shoes to Amazon order.","set_reminder","","","Add shoes to Amazon order"
"Remind me to get gas on my way home.","set_reminder","","","Get gas on my way home"
"Remind me tomorrow about my dentist appointment.","set_reminder","","tomorrow","Dentist appointment tomorrow"
"Remind me about my appointments.","set_reminder","","","Appointments"
"Weekly reminder to take out trash.","set_reminder","","Weekly","Take out trash"
"Remind me when I'm at the store to buy pickles.","set_reminder","","","Buy pickles at the store"
"Remind me 24 hours before my anniversary.","set_reminder","","24 hours before","24 hours before anniversary"
"Remind me with an alarm in 10 minutes.","set_reminder","","10 minutes","Alarm in 10 minutes"
"Remind me to watch Walking Dead.","set_reminder","","","Watch Walking Dead"
"Add reminder to call Bill at 6 PM.","set_reminder","6:00 PM","","Call Bill at 6 PM"
"Remind me it is Friday at 11 AM.","set_reminder","11:00 AM","","It is Friday at 11 AM"
"Prepone the reminder to buy coffee to 4:30 PM today.","set_reminder","4:30 PM","today","Buy coffee at 4:30 PM today"
"Please add a reminder to get peppers at the grocery tomorrow.","set_reminder","","tomorrow","Get peppers at the grocery tomorrow"
"Add reminder to pay bills tonight.","set_reminder","","tonight","Pay bills tonight"
"Remind me to return the DVD.","set_reminder","","","Return the DVD"
"Add reminder for Jen's party on August 10th.","set_reminder","","August 10th","Jen's party on August 10th"
"Set a reminder called golf for this Sunday at 7 AM","set_reminder","7:00 AM","Sunday","Golf"
"Remind me of the restaurant I saw in Chicago.","set_reminder","","","Restaurant in Chicago"
"Remind me the day before my dentist appointment.","set_reminder","","","Day before dentist appointment"
"Remind me 20 minutes before my chiropractor appointment.","set_reminder","","20 minutes before","Chiropractor appointment"
"Remind me to pay my phone bill on August 1st.","set_reminder","","August 1st","Pay phone bill on August 1st"
"Remind me to get eggs at the store tomorrow.","set_reminder","","tomorrow","Get eggs at the store tomorrow"
"Set reminder in 30 minutes to add chemicals.","set_reminder","","30 minutes","Set reminder in 30 minutes"
"Add a reminder to clean the house.","set_reminder","","","Clean the house"
"Remind me of my dentist's appointment today at 4 PM.","set_reminder","4:00 PM","today","Dentist's appointment today at 4 PM"
"Remind me of the field trip at school tomorrow.","set_reminder","","tomorrow","Field trip at school tomorrow"
"Show me the reminder for the house tour.","set_reminder","","","Show reminder for house tour"
"Remind me to set an alarm in 30 minutes.","set_reminder","","30 minutes","Set alarm in 30 minutes"
"Remind me of date night for tomorrow at 8 PM.","set_reminder","8:00 PM","tomorrow","Date night tomorrow at 8 PM"
"Remind me an hour before my doctor's appointment.","set_reminder","","1 hour","1 hour before doctor's appointment"
"Remind me when payment is due.","set_reminder","","","Payment due"
"Remind me of haircut appointment on Wednesday at 4 PM.","set_reminder","4:00 PM","Wednesday","Haircut appointment on Wednesday at 4 PM"
"Remind me when it is two days from husband's birthday.","set_reminder","","2 days","Two days from husband's birthday"
"Remind me to sell my home tomorrow at 8 PM with an alarm.","set_reminder","8:00 PM","tomorrow","Sell home tomorrow at 8 PM with alarm"
"Remind me of the work deadline for the project a week before it is due.","set_reminder","","1 week","1 week before work deadline"
"Remind me to call mom at 10.","set_reminder","","10:00 AM","Call mom at 10"
"Remind me about game night on Friday at 4 PM.","set_reminder","4:00 PM","Friday","Game night on Friday at 4 PM"
"Remind me about doctor's appointment on Monday.","set_reminder","","Monday","Doctor's appointment on Monday"
"Beep me a reminder every 10 minutes.","set_reminder","","10 minutes","Beep reminder every 10 minutes"
"Please remind me when I am around E 12th street & Bakers corner to drop in deli store for pastramis.","set_reminder","","","Reminder to drop in deli store for pastramis"
"Reminder alarm for 3 PM meeting.","set_reminder","3:00 PM","","3 PM meeting"
"Remind me to set the alarm tonight.","set_reminder","","tonight","Set alarm tonight"
"Add a reminder to pick up kids.","set_reminder","","","Pick up kids"
"Remind me to buy pet food.","set_reminder","","","Buy pet food"
"Set a reminder for my parents' anniversary.","set_reminder","","","Parents' anniversary"
"Remind me the dragon cake is due Tuesday at 8 AM.","set_reminder","8:00 AM","Tuesday","Dragon cake due Tuesday at 8 AM"
"Remind me to get gas today.","set_reminder","","today","Get gas today"
"Add reminder to check all reminders.","set_reminder","","","Check all reminders"
"Will you remind me to pick up some ice cream when we go to the store.","set_reminder","","","Pick up ice cream at the store"
"Remind me of my 10:00 AM doctor's appointment.","set_reminder","10:00 AM","","10:00 AM doctor's appointment"
"Remind me of all my events.","set_reminder","","","All events"
"Set a repeated reminder to go to bed.","set_reminder","","","Repeated reminder to go to bed"
"Remind me that tomorrow is our anniversary.","set_reminder","","tomorrow","Tomorrow is our anniversary"
"Remind me about my to-do list at 3 PM.","set_reminder","3:00 PM","","To-do list at 3 PM"
"Remind me to set an alarm for the gym.","set_reminder","","","Set alarm for the gym"
"Remind me again in an hour.","set_reminder","","1 hour","Remind again in 1 hour"
"Remind me to turn the oven on at 4 PM.","set_reminder","4:00 PM","","Turn oven on at 4 PM"
"Remind me about soccer at 5.","set_reminder","5:00 PM","","Soccer at 5"
"Remind me of my doctor appointment on Tuesday.","set_reminder","","Tuesday","Doctor appointment on Tuesday"
"Remind me to turn off the stove in 11 minutes.","set_reminder","11 minutes","","Turn off stove in 11 minutes"
"Remind me to set the house alarm each night.","set_reminder","","","Set house alarm each night"
"Remind me to water the plants every morning.","set_reminder","","every morning","Water plants"
"Remind me to take my medication at 9 AM every day.","set_reminder","9:00 AM","every day","Take medication at 9 AM"
"Remind me to submit the report by 5 PM tomorrow.","set_reminder","5:00 PM","tomorrow","Submit report by 5 PM"
"Remind me to check emails every hour during work hours.","set_reminder","","every hour during work hours","Check emails"
"Remind me to wish my friend happy birthday on January 15th.","set_reminder","","January 15th","Wish friend happy birthday"
"Remind me to review the project proposal at 3:30 PM today.","set_reminder","3:30 PM","today","Review project proposal at 3:30 PM"
"Remind me to practice guitar for 20 minutes at 6 PM.","set_reminder","6:00 PM","","Practice guitar for 20 minutes at 6 PM"
"Remind me to buy a birthday card for mom next week.","set_reminder","","next week","Buy birthday card for mom"
"Remind me to check for flight updates a day before my trip.","set_reminder","","1 day before trip","Check flight updates"
"Remind me to call the bank about the credit card issue on Monday.","set_reminder","","Monday","Call bank about credit card issue on Monday"
"Remind me to review the meeting agenda 30 minutes before the conference call at 2 PM.","set_reminder","1:30 PM","","Review meeting agenda 30 minutes before conference call at 2 PM"
"Remind me to update the software on my computer next Friday.","set_reminder","","next Friday","Update software on computer"
"Remind me to buy milk and eggs when I go grocery shopping tomorrow.","set_reminder","","tomorrow","Buy milk and eggs during grocery shopping"
"Remind me to wish my sister good luck before her exam on Thursday.","set_reminder","","Thursday","Wish sister good luck before exam"
"Remind me to water the garden every evening.","set_reminder","","every evening","Water garden"
"Remind me to check if there are any discounts before purchasing online.","set_reminder","","","Check for discounts before online purchase"
"Remind me to submit the expense report by the end of the month.","set_reminder","","end of the month","Submit expense report"
"Remind me to call my parents on Sunday evening.","set_reminder","","Sunday evening","Call parents on Sunday"
"Remind me to take a break and stretch every two hours at work.","set_reminder","","every two hours at work","Take break and stretch"
"Remind me to pick up dry cleaning on Wednesday after work.","set_reminder","","Wednesday after work","Pick up dry cleaning"
"Remind me to buy a gift for the office Secret Santa exchange.","set_reminder","","","Buy gift for office Secret Santa exchange"
"Remind me to check the weather forecast before leaving the house.","set_reminder","","","Check weather forecast before leaving house"
"Remind me to attend the team meeting at 10:30 AM on Friday.","set_reminder","10:30 AM","Friday","Team meeting at 10:30 AM on Friday"
"Remind me to review the presentation slides before the meeting at 3 PM.","set_reminder","","before meeting at 3 PM","Review presentation slides"
"Remind me to start preparing for the upcoming exam two weeks in advance.","set_reminder","","2 weeks in advance","Start preparing for upcoming exam"
"Remind me to turn off the oven after baking at 6:45 PM.","set_reminder","6:45 PM","","Turn off oven after baking at 6:45 PM"
"Remind me to buy a new toothbrush next time I'm at the store.","set_reminder","","","Buy new toothbrush"
"Remind me to send a thank-you email to the client after the meeting.","set_reminder","","","Send thank-you email to client after meeting"
"Remind me to set goals for the new month on the first day.","set_reminder","","first day of the month","Set goals for new month"
"Remind me to update my LinkedIn profile next month.","set_reminder","","next month","Update LinkedIn profile"
"Remind me to charge my phone before going to bed every night.","set_reminder","","every night","Charge phone before going to bed"
"Remind me to write a progress report every Friday afternoon.","set_reminder","afternoon","Friday","Write progress report"
"Remind me to check for any missed calls before leaving the office.","set_reminder","","","Check for missed calls before leaving office"
"Remind me to pack my gym bag for the morning workout.","set_reminder","","","Pack gym bag for morning workout"
"Remind me to take a photo of something beautiful today.","set_reminder","","today","Take photo of something beautiful"
"Remind me to update the software on my phone next Sunday.","set_reminder","","next Sunday","Update software on phone"
"Remind me to unsubscribe from unnecessary email subscriptions.","set_reminder","","","Unsubscribe from unnecessary email subscriptions"
"Remind me to declutter and organize my desk on the first day of the month.","set_reminder","","first day of  the month","Declutter and organize desk"
"Remind me to check my credit card statement for any unauthorized transactions.","set_reminder","","","Check credit card statement for unauthorized transactions"
"Remind me to water the indoor plants every Monday.","set_reminder","","every Monday","Water indoor plants"
"Remind me to set aside time for self-care this weekend.","set_reminder","","this weekend","Set aside time for self-care"
"Remind me to update my password for online accounts every three months.","set_reminder","","every three months","Update password for online accounts"
"Remind me to return library books before the due date.","set_reminder","","","Return library books before due date"
"Remind me to send birthday wishes to a friend on their birthday.","set_reminder","","","Send birthday wishes to friend"
