input,task,time,date,task_detail
"Schedule a team brainstorming session for next Wednesday at 3 PM.","set_reminder","3:00 PM","next Wednesday","Team brainstorming session"
"Remind me to take out the trash on Monday evening.","set_reminder","evening","Monday","Take out the trash"
"Schedule a doctor's appointment for next Tuesday morning at 10:30 AM.","set_reminder","10:30 AM","next Tuesday","Doctor's appointment"
"Remind me to call my sister next Thursday at 7 PM.","set_reminder","7:00 PM","next Thursday","Call my sister"
"Set a reminder to pay rent on the 1st of next month at noon.","set_reminder","noon","1st of next month","Pay rent"
"Remind me to buy a birthday gift for John on the 10th of February.","set_reminder","","10th of February","Buy birthday gift for John"
"Schedule a client presentation for next Monday at 10:30 AM.","set_reminder","10:30 AM","next Monday","Client presentation"
"Remind me to water the flowers every morning.","set_reminder","every morning","","Water the flowers"
"Set a reminder to submit the expense report by the end of the day on Friday.","set_reminder","end of the day","Friday","Submit expense report"
"Remind me to call the insurance company next Tuesday at 2 PM.","set_reminder","2:00 PM","next Tuesday","Call the insurance company"
"Set a reminder for the annual performance review on March 15th at 3 PM.","set_reminder","3:00 PM","March 15th","Annual performance review"
"Set a reminder to buy groceries on the 15th of this month at 6 PM.","set_reminder","6:00 PM","15th of this month","Buy groceries"
"Set a reminder to call John on the 20th of this month at 2 PM.","set_reminder","2:00 PM","20th of this month","Call John"
"Set a reminder to attend meeting on the 18th of this month at 10 AM.","set_reminder","10:00 AM","18th of this month","Attend meeting"
"Set a reminder to visit the doctor on the 22nd of this month at 4 PM.","set_reminder","4:00 PM","22nd of this month","Visit the doctor"
"Set a reminder to finish the report on the 30th of this month at 8 PM.","set_reminder","8:00 PM","30th of this month","Finish the report"
"Set a reminder to do laundry on Saturday at 10 AM.","set_reminder","10:00 AM","Saturday","Do laundry"
"Remind me to pick up the kids from school tomorrow at 3 PM.","set_reminder","3:00 PM","Tomorrow","Pick up kids from school"
"Schedule a lunch with Mary for next Tuesday at 1 PM.","set_reminder","1:00 PM","next Tuesday","Lunch with Mary"
"Set a reminder to pay the electricity bill by 6 PM today.","set_reminder","6:00 PM","Today","Pay electricity bill"
"Remind me to feed the fish on Monday morning.","set_reminder","morning","Monday","Feed the fish"
"Schedule a conference call for Wednesday at 2:30 PM.","set_reminder","2:30 PM","Wednesday","Conference call"
"Remind me to book flight tickets on the 20th of this month at 12 PM.","set_reminder","12:00 PM","20th of this month","Book flight tickets"
"Set a reminder for the yoga class on Sunday at 9 AM.","set_reminder","9:00 AM","Sunday","Yoga class"
"Schedule a car service appointment for next Friday at 10:30 AM.","set_reminder","10:30 AM","next Friday","Car service appointment"
"Remind me to send the birthday card on Thursday evening at 8 PM.","set_reminder","8:00 PM","Thursday","Send birthday card"
"Set a reminder to renew the insurance by the end of the day today.","set_reminder","end of the day","Today","Renew insurance"
"Set a reminder to take medicine every day at 9 AM.","set_reminder","9:00 AM","Every day","Take medicine"
"Set an alarm to remind me to stretch every hour.","set_reminder","every hour","","Stretch"
"Reminder to schedule a vet appointment.","set_reminder","","","Schedule vet appointment"
"Remind me to turn off the oven in 30 minutes.","set_reminder","","","Turn off oven"
"Remind me about my interview next Tuesday on Monday.","set_reminder","","Monday","Interview next Tuesday"
"Remind me of my dinner reservation tonight at 8 at the Italian restaurant.","set_reminder","8:00 PM","","Dinner reservation tonight at Italian restaurant"
"Set a reminder to clean the house on Sunday at 11 AM.","set_reminder","11:00 AM","Sunday","Clean the house"
"Remind me to buy a birthday gift for John on the 18th of this month at 3 PM.","set_reminder","3:00 PM","18th of this month","Buy birthday gift for John"
"Schedule a dinner with Alice for next Saturday at 7 PM.","set_reminder","7:00 PM","next Saturday","Dinner with Alice"
"Set a reminder to pay the internet bill by 5 PM today.","set_reminder","5:00 PM","Today","Pay internet bill"
"Remind me to water the garden on Monday morning.","set_reminder","morning","Monday","Water the garden"
"Schedule a business meeting for Tuesday at 2:30 PM.","set_reminder","2:30 PM","Tuesday","Business meeting"
"Set a reminder to buy milk on the 10th of this month at 5 PM.","set_reminder","5:00 PM","10th of this month","Buy milk"
"Remind me to call Mike on the 12th of this month at 3 PM.","set_reminder","3:00 PM","12th of this month","Call Mike"
"Schedule a lunch with Lisa for next Wednesday at 1 PM.","set_reminder","1:00 PM","next Wednesday","Lunch with Lisa"
"Set a reminder to pay the credit card bill by 6 PM today.","set_reminder","6:00 PM","Today","Pay credit card bill"
"Remind me to feed the cat on Monday morning.","set_reminder","morning","Monday","Feed the cat"
"Schedule a project review meeting for Thursday at 2:30 PM.","set_reminder","2:30 PM","Thursday","Project review meeting"
"Remind me to book hotel for the trip on the 20th of this month at 12 PM.","set_reminder","12:00 PM","20th of this month","Book hotel for trip"
"Set a reminder for the gym class on Sunday at 9 AM.","set_reminder","9:00 AM","Sunday","Gym class"
"Schedule a dentist appointment for next Friday at 10:30 AM.","set_reminder","10:30 AM","next Friday","Dentist appointment"
"Remind me to send the parcel on Thursday evening at 8 PM.","set_reminder","8:00 PM","Thursday","Send parcel"
"Set a reminder to wash the car on Saturday at 10 AM.","set_reminder","10:00 AM","Saturday","Wash the car"
"Remind me to pick up the dry cleaning on the 15th of this month at 4 PM.","set_reminder","4:00 PM","15th of this month","Pick up dry cleaning"
"Schedule a coffee with James for next Tuesday at 11 AM.","set_reminder","11:00 AM","next Tuesday","Coffee with James"
"Set a reminder to pay the gas bill by 7 PM today.","set_reminder","7:00 PM","Today","Pay gas bill"
"Remind me to take out the trash on Sunday evening.","set_reminder","evening","Sunday","Take out the trash"
"Schedule a team meeting for Wednesday at 3:30 PM.","set_reminder","3:30 PM","Wednesday","Team meeting"
"Remind me to buy concert tickets on the 25th of this month at 10 AM.","set_reminder","10:00 AM","25th of this month","Buy concert tickets"
"Set a reminder for the doctor's appointment on Monday at 2 PM.","set_reminder","2:00 PM","Monday","Doctor's appointment"
"Schedule a car maintenance appointment for next Friday at 9:30 AM.","set_reminder","9:30 AM","next Friday","Car maintenance appointment"
"Remind me to post the letter on Thursday morning at 9 AM.","set_reminder","9:00 AM","Thursday","Post the letter"
"Set a reminder to buy coffee beans on the 5th of this month at 1 PM.","set_reminder","1:00 PM","5th of this month","Buy coffee beans"
"Remind me to call the bank on the 8th of this month at 11 AM.","set_reminder","11:00 AM","8th of this month","Call the bank"
"Schedule a dinner with Susan for next Friday at 7 PM.","set_reminder","7:00 PM","next Friday","Dinner with Susan"
"Set a reminder to pay the phone bill by 8 PM today.","set_reminder","8:00 PM","Today","Pay phone bill"
"Remind me to water the plants on Tuesday morning.","set_reminder","morning","Tuesday","Water the plants"
"Schedule a client meeting for Monday at 10:30 AM.","set_reminder","10:30 AM","Monday","Client meeting"
"Remind me to buy plane tickets on the 22nd of this month at 2 PM.","set_reminder","2:00 PM","22nd of this month","Buy plane tickets"
"Set a reminder for the yoga class on Wednesday at 6 PM.","set_reminder","6:00 PM","Wednesday","Yoga class"
"Schedule a vet appointment for next Thursday at 4:30 PM.","set_reminder","4:30 PM","next Thursday","Vet appointment"
"Remind me to send the email on Friday evening at 5 PM.","set_reminder","5:00 PM","Friday","Send email"
"Set a reminder to clean the garage on Saturday at 10 AM.","set_reminder","10:00 AM","Saturday","Clean the garage"
"Remind me to buy a birthday gift for Anna on the 18th of this month at 3 PM.","set_reminder","3:00 PM","18th of this month","Buy birthday gift for Anna"
"Schedule a lunch with Bob for next Wednesday at 1 PM.","set_reminder","1:00 PM","next Wednesday","Lunch with Bob"
"Set a reminder to pay the credit card bill by 6 PM today.","set_reminder","6:00 PM","Today","Pay credit card bill"
"Remind me to feed the dog on Monday morning.","set_reminder","morning","Monday","Feed the dog"
"Schedule a project review meeting for Thursday at 2:30 PM.","set_reminder","2:30 PM","Thursday","Project review meeting"
"Remind me to book hotel for the trip on the 20th of this month at 12 PM.","set_reminder","12:00 PM","20th of this month","Book hotel for trip"
"Set a reminder for the gym class on Sunday at 9 AM.","set_reminder","9:00 AM","Sunday","Gym class"
"Schedule a dentist appointment for next Friday at 10:30 AM.","set_reminder","10:30 AM","next Friday","Dentist appointment"
"Remind me to send the parcel on Thursday evening at 8 PM.","set_reminder","8:00 PM","Thursday","Send parcel"
"Set a reminder to wash the car on Saturday at 10 AM.","set_reminder","10:00 AM","Saturday","Wash the car"
"Remind me to pick up the dry cleaning on the 15th of this month at 4 PM.","set_reminder","4:00 PM","15th of this month","Pick up dry cleaning"
"Schedule a coffee with James for next Tuesday at 11 AM.","set_reminder","11:00 AM","next Tuesday","Coffee with James"
"Set a reminder to pay the gas bill by 7 PM today.","set_reminder","7:00 PM","Today","Pay gas bill"
"Remind me to take out the trash on Sunday evening.","set_reminder","evening","Sunday","Take out the trash"
"Schedule a team meeting for Wednesday at 3:30 PM.","set_reminder","3:30 PM","Wednesday","Team meeting"
"Remind me to buy concert tickets on the 25th of this month at 10 AM.","set_reminder","10:00 AM","25th of this month","Buy concert tickets"
"Set a reminder for the doctor's appointment on Monday at 2 PM.","set_reminder","2:00 PM","Monday","Doctor's appointment"
"Schedule a car maintenance appointment for next Friday at 9:30 AM.","set_reminder","9:30 AM","next Friday","Car maintenance appointment"
"Remind me to post the letter on Thursday morning at 9 AM.","set_reminder","9:00 AM","Thursday","Post the letter"
"Remind me to call Mom next Sunday at 10 AM.","set_reminder","10:00 AM","next Sunday","Call Mom"
"Schedule a team meeting for next Thursday afternoon at 3 PM.","set_reminder","3:00 PM","next Thursday","Team meeting"
"Set a reminder to pay the credit card bill on the 5th of next month at 6 PM.","set_reminder","6:00 PM","5th of next month","Pay credit card bill"
"Remind me to submit the weekly report on Friday by 5 PM.","set_reminder","5:00 PM","Friday","Submit weekly report"
"Schedule a dentist appointment for next Monday morning at 9 AM.","set_reminder","9:00 AM","next Monday","Dentist appointment"
"Set a reminder for the quarterly performance review on April 1st at 2 PM.","set_reminder","2:00 PM","April 1st","Quarterly performance review"
"Remind me to water the plants every Monday, Wednesday, and Friday.","set_reminder","","Monday, Wednesday, Friday","Water plants"
"Schedule a conference call with the overseas team for next Wednesday at 10:30 AM.","set_reminder","10:30 AM","next Wednesday","Conference call with overseas team"
"Set a reminder to renew the car insurance on the 20th of this month.","set_reminder","","20th of this month","Renew car insurance"
"Remind me to call the landlord on Thursday morning at 11 AM.","set_reminder","11:00 AM","Thursday","Call landlord"
"Schedule a project kickoff meeting for next Monday at 9:30 AM.","set_reminder","9:30 AM","next Monday","Project kickoff meeting"
"Set a reminder to review the presentation slides on Tuesday evening at 7 PM.","set_reminder","7:00 PM","Tuesday","Review presentation slides"
"Remind me to take the dog to the vet next Wednesday afternoon.","set_reminder","afternoon","next Wednesday","Take dog to vet"
"Schedule a dinner reservation for next Friday evening at 7:30 PM.","set_reminder","7:30 PM","next Friday","Dinner reservation"
"Set a reminder for the annual health checkup on May 15th at 10 AM.","set_reminder","10:00 AM","May 15th","Annual health checkup"
"Remind me to send the project status update on Monday by noon.","set_reminder","noon","Monday","Send project status update"
"Schedule a video conference with the client for next Tuesday afternoon at 2 PM.","set_reminder","2:00 PM","next Tuesday","Video conference with client"
"Set a reminder to call the utility company on the 25th of this month at 3 PM.","set_reminder","3:00 PM","25th of this month","Call utility company"
"Remind me to submit the expense report next Friday before 5 PM.","set_reminder","before 5 PM","next Friday","Submit expense report"
"Schedule a dentist appointment for next Monday morning at 9:15 AM.","set_reminder","9:15 AM","next Monday","Dentist appointment"
"Set a reminder to buy eggs on the 5th of this month at 1 PM.","set_reminder","1:00 PM","5th of this month","Buy eggs"
"Remind me to call the insurance company on the 8th of this month at 11 AM.","set_reminder","11:00 AM","8th of this month","Call insurance company"
"Schedule a dinner with Paul for next Friday at 7 PM.","set_reminder","7:00 PM","next Friday","Dinner with Paul"
"Set a reminder to pay the water bill by 8 PM today.","set_reminder","8:00 PM","Today","Pay water bill"
"Remind me to mow the lawn on Tuesday morning.","set_reminder","morning","Tuesday","Mow the lawn"
"Schedule a client meeting for Monday at 10:30 AM.","set_reminder","10:30 AM","Monday","Client meeting"
"Remind me to buy train tickets on the 22nd of this month at 2 PM.","set_reminder","2:00 PM","22nd of this month","Buy train tickets"
"Set a reminder for the dance class on Wednesday at 6 PM.","set_reminder","6:00 PM","Wednesday","Dance class"
"Schedule a doctor appointment for next Thursday at 4:30 PM.","set_reminder","4:30 PM","next Thursday","Doctor appointment"
"Remind me to send the package on Friday evening at 5 PM.","set_reminder","5:00 PM","Friday","Send package"
"Remind me to call the plumber tomorrow afternoon.","set_reminder","afternoon","tomorrow","Call the plumber"
"Schedule a team training session for next Tuesday morning at 10 AM.","set_reminder","10:00 AM","next Tuesday","Team training session"
"Set a reminder to review the project timeline on Wednesday at 2 PM.","set_reminder","2:00 PM","Wednesday","Review project timeline"
"Remind me to pick up the kids from school next Thursday at 3:30 PM.","set_reminder","3:30 PM","next Thursday","Pick up kids from school"
"Schedule a doctor's appointment for next Friday at 11:15 AM.","set_reminder","11:15 AM","next Friday","Doctor's appointment"
"Set a reminder to submit the monthly report on the 1st of next month by 9 AM.","set_reminder","9:00 AM","1st of next month","Submit monthly report"
"Remind me to water the garden every morning at 8 AM.","set_reminder","8:00 AM","every morning","Water garden"
"Schedule a virtual team meeting for next Monday at 1:30 PM.","set_reminder","1:30 PM","next Monday","Virtual team meeting"
"Set a reminder to renew the library books on the 10th of this month.","set_reminder","","10th of this month","Renew library books"
"Remind me to call the IT support team next Tuesday at 11 AM.","set_reminder","11:00 AM","next Tuesday","Call IT support team"
"Schedule a dentist appointment for next Thursday morning at 9 AM.","set_reminder","9:00 AM","next Thursday","Dentist appointment"
"Set a reminder for the quarterly financial review on April 5th at 3 PM.","set_reminder","3:00 PM","April 5th","Quarterly financial review"
"Remind me to send the client proposal by the end of the day on Friday.","set_reminder","end of the day","Friday","Send client proposal"
"Schedule a team building activity for next Saturday afternoon.","set_reminder","afternoon","next Saturday","Team building activity"
"Set a reminder to pay the phone bill on the 15th of next month.","set_reminder","","15th of next month","Pay phone bill"
"Remind me to call the vet next Wednesday at 2:30 PM.","set_reminder","2:30 PM","next Wednesday","Call vet"
"Schedule a doctor's appointment for next Monday at 10:45 AM.","set_reminder","10:45 AM","next Monday","Doctor's appointment"
"Set a reminder for the monthly project review on the 1st of next month at 4 PM.","set_reminder","4:00 PM","1st of next month","Monthly project review"
"Remind me to water the plants every evening at 6 PM.","set_reminder","6:00 PM","every evening","Water plants"
"Schedule a lunch meeting with the marketing team for next Thursday at 12 PM.","set_reminder","12:00 PM","next Thursday","Lunch meeting with marketing team"
"Set a reminder to buy bread on the 3rd of this month at 10 AM.","set_reminder","10:00 AM","3rd of this month","Buy bread"
"Remind me to call the plumber on the 9th of this month at 12 PM.","set_reminder","12:00 PM","9th of this month","Call plumber"
"Schedule a lunch with Karen for next Monday at 1 PM.","set_reminder","1:00 PM","next Monday","Lunch with Karen"
"Set a reminder to pay the rent by 5 PM today.","set_reminder","5:00 PM","Today","Pay rent"
"Remind me to trim the plants on Wednesday morning.","set_reminder","morning","Wednesday","Trim the plants"
"Schedule a sales meeting for Tuesday at 11:30 AM.","set_reminder","11:30 AM","Tuesday","Sales meeting"
"Remind me to buy bus tickets on the 23rd of this month at 3 PM.","set_reminder","3:00 PM","23rd of this month","Buy bus tickets"
"Set a reminder for the cooking class on Thursday at 5 PM.","set_reminder","5:00 PM","Thursday","Cooking class"
"Schedule a hairdresser appointment for next Saturday at 3:30 PM.","set_reminder","3:30 PM","next Saturday","Hairdresser appointment"
"Remind me to send the documents on Monday evening at 6 PM.","set_reminder","6:00 PM","Monday","Send documents"
"Set a reminder to clean the kitchen on Sunday at 11 AM.","set_reminder","11:00 AM","Sunday","Clean the kitchen"
"Remind me to buy a gift for Peter on the 19th of this month at 4 PM.","set_reminder","4:00 PM","19th of this month","Buy gift for Peter"
"Schedule a breakfast with Lily for next Tuesday at 9 AM.","set_reminder","9:00 AM","next Tuesday","Breakfast with Lily"
"Set a reminder to pay the electricity bill by 7 PM today.","set_reminder","7:00 PM","Today","Pay electricity bill"
"Remind me to feed the birds on Thursday morning.","set_reminder","morning","Thursday","Feed the birds"
"Schedule a marketing meeting for Friday at 2:30 PM.","set_reminder","2:30 PM","Friday","Marketing meeting"
"Remind me to book a restaurant for the party on the 24th of this month at 1 PM.","set_reminder","1:00 PM","24th of this month","Book restaurant for party"
"Set a reminder for the painting class on Saturday at 10 AM.","set_reminder","10:00 AM","Saturday","Painting class"
"Schedule a doctor appointment for next Sunday at 4:30 PM.","set_reminder","4:30 PM","next Sunday","Doctor appointment"
"Remind me to send the invitation cards on Tuesday evening at 7 PM.","set_reminder","7:00 PM","Tuesday","Send invitation cards"
"Set a reminder to wash the dog on Monday at 2 PM.","set_reminder","2:00 PM","Monday","Wash the dog"
"Remind me to pick up the package on the 16th of this month at 5 PM.","set_reminder","5:00 PM","16th of this month","Pick up package"
"Schedule a dinner with George for next Wednesday at 8 PM.","set_reminder","8:00 PM","next Wednesday","Dinner with George"
"Set a reminder to pay the internet bill by 6 PM today.","set_reminder","6:00 PM","Today","Pay internet bill"
"Remind me to water the flowers on Friday morning.","set_reminder","morning","Friday","Water the flowers"
"Schedule a team meeting for Thursday at 3:30 PM.","set_reminder","3:30 PM","Thursday","Team meeting"
"Remind me to buy movie tickets on the 26th of this month at 12 PM.","set_reminder","12:00 PM","26th of this month","Buy movie tickets"
"Set a reminder for the guitar class on Sunday at 4 PM.","set_reminder","4:00 PM","Sunday","Guitar class"
"Schedule a dentist appointment for next Monday at 10:30 AM.","set_reminder","10:30 AM","next Monday","Dentist appointment"
